NHMUK_ID,whale_ID,sample_cm,d15N, d13C,species
SW.1923.21,KC6,18,9.83,-17.77,Balaenoptera_physalus
SW.1923.22,KC6,19,9.92,-17.21,Balaenoptera_physalus
SW.1923.23,KC6,20,9.76,-16.91,Balaenoptera_physalus
SW.1923.24,KC6,21,9.53,-16.89,Balaenoptera_physalus
SW.1923.25,KC6,22,9.5,-17.06,Balaenoptera_physalus
SW.1923.26,KC6,23,9.89,-17.3,Balaenoptera_physalus
SW.1923.27,KC6,24,9.39,-17.53,Balaenoptera_physalus
SW.1923.28,KC6,25,8.96,-17.3,Balaenoptera_physalus
SW.1923.29,KC6,26,8.59,-17.11,Balaenoptera_physalus
SW.1923.30,KC6,27,8.11,-17.09,Balaenoptera_physalus
SW.1923.31,KC6,28,7.82,-17.05,Balaenoptera_physalus
SW.1923.32,KC6,29,7.41,-17.23,Balaenoptera_physalus
SW.1923.33,KC6,30,6.97,-17.48,Balaenoptera_physalus
SW.1923.34,KC6,31,6.39,-17.7,Balaenoptera_physalus
SW.1923.35,KC6,32,6.78,-18.04,Balaenoptera_physalus
SW.1923.36,KC6,33,7.91,-17.94,Balaenoptera_physalus
SW.1923.37,KC6,34,8.92,-17.88,Balaenoptera_physalus
SW.1923.38,KC6,35,9.33,-17.92,Balaenoptera_physalus
SW.1923.39,KC6,36,9.43,-17.71,Balaenoptera_physalus
SW.1923.40,KC6,37,9.56,-17.62,Balaenoptera_physalus
SW.1923.41,KC6,38,9.66,-17.49,Balaenoptera_physalus
SW.1923.42,KC6,39,10.08,-17.39,Balaenoptera_physalus
SW.1923.43,KC6,40,9.99,-17.63,Balaenoptera_physalus
SW.1923.44,KC6,41,9.76,-17.54,Balaenoptera_physalus
SW.1923.45,KC6,42,9.6,-17.63,Balaenoptera_physalus
SW.1923.46,KC6,43,9.42,-17.33,Balaenoptera_physalus
SW.1923.47,KC6,44,8.8,-17.29,Balaenoptera_physalus
SW.1923.48,KC6,45,8.77,-17.64,Balaenoptera_physalus
SW.1923.49,KC6,46,8.91,-18.53,Balaenoptera_physalus
SW.1923.50,KC6,47,8.94,-17.62,Balaenoptera_physalus
SW.1923.51,KC6,48,8.56,-17.5,Balaenoptera_physalus
SW.1923.52,KC6,49,8.56,-17.6,Balaenoptera_physalus
SW.1923.53,KC6,50,9.31,-17.56,Balaenoptera_physalus
SW.1923.54,KC6,51,9.57,-17.49,Balaenoptera_physalus
SW.1923.55,KC6,52,9.5,-17.5,Balaenoptera_physalus
SW.1923.56,KC6,53,9.66,-17.37,Balaenoptera_physalus
SW.1923.57,KC6,54,9.55,-17.34,Balaenoptera_physalus
SW.1923.58,KC6,55,9.35,-17.52,Balaenoptera_physalus
SW.1923.59,KC6,56,9.41,-17.55,Balaenoptera_physalus
SW.1923.60,KC6,57,9.1,-17.82,Balaenoptera_physalus
SW.1916.7,CK1,1,9.41,-18.87,Balaenoptera_acutorostrata
SW.1916.7,CK1,2,10.7,-18.81,Balaenoptera_acutorostrata
SW.1916.7,CK1,3,11.06,-18.48,Balaenoptera_acutorostrata
SW.1916.7,CK1,4,11.93,-18.21,Balaenoptera_acutorostrata
SW.1916.7,CK1,5,12.34,-18.5,Balaenoptera_acutorostrata
SW.1916.7,CK1,6,12.51,-18.57,Balaenoptera_acutorostrata
SW.1916.7,CK1,7,12.84,-18.75,Balaenoptera_acutorostrata
SW.1916.7,CK1,8,12.78,-18.53,Balaenoptera_acutorostrata
SW.1916.7,CK1,9,12.91,-18.69,Balaenoptera_acutorostrata
